J	1	FCCCFC	Translation, ribosomal structure and biogenesis
A	1	FCDCFC	RNA processing and modification
K	1	FCDCEC	Transcription
L	1	FCDCDC	Replication, recombination and repair
B	1	FCDCCC	Chromatin structure and dynamics
D	2	FCFCCC	Cell cycle control, cell division, chromosome partitioning
Y	2	FCFCBC	Nuclear structure
V	2	FCFCAC	Defense mechanisms
T	2	ECFCAC	Signal transduction mechanisms
M	2	DCFCAC	Cell wall/membrane/envelope biogenesis
N	2	CCFCAC	Cell motility
Z	2	BCFCAC	Cytoskeleton
W	2	ACFCAC	Extracellular structures
U	2	9CFCAC	Intracellular trafficking, secretion, and vesicular transport
O	2	9CFC9C	Posttranslational modification, protein turnover, chaperones
X	2	Mobilome: prophages, transposons
C	3	BCFCFC	Energy production and conversion
G	3	CCFCFC	Carbohydrate transport and metabolism
E	3	DCFCFC	Amino acid transport and metabolism
F	3	DCECFC	Nucleotide transport and metabolism
H	3	DCDCFC	Coenzyme transport and metabolism
I	3	DCCCFC	Lipid transport and metabolism
P	3	CCCCFC	Inorganic ion transport and metabolism
Q	3	BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
R	4	E0E0E0	General function prediction only
S	4	CCCCCC	Function unknown
